GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RK9E001,NAME_M,RK9M001
"G44000300207031","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020703","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030207031","Block Group 1, Census Tract 207.03, Kent County, Rhode Island",2445,"Block Group 1, Census Tract 207.03, Kent County, Rhode Island",358
"G44000300207039","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020703","9",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030207039","Block Group 9, Census Tract 207.03, Kent County, Rhode Island",3843,"Block Group 9, Census Tract 207.03, Kent County, Rhode Island",399
"G44000300208002","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020800","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030208002","Block Group 2, Census Tract 208, Kent County, Rhode Island",2651,"Block Group 2, Census Tract 208, Kent County, Rhode Island",320
"G44000300208003","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020800","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030208003","Block Group 3, Census Tract 208, Kent County, Rhode Island",2410,"Block Group 3, Census Tract 208, Kent County, Rhode Island",352
"G44000300208009","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020800","9",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030208009","Block Group 9, Census Tract 208, Kent County, Rhode Island",1188,"Block Group 9, Census Tract 208, Kent County, Rhode Island",301
"G44000300209011","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020901","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209011","Block Group 1, Census Tract 209.01, Kent County, Rhode Island",1599,"Block Group 1, Census Tract 209.01, Kent County, Rhode Island",358
"G44000300209012","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020901","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209012","Block Group 2, Census Tract 209.01, Kent County, Rhode Island",731,"Block Group 2, Census Tract 209.01, Kent County, Rhode Island",257
"G44000300209013","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020901","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209013","Block Group 3, Census Tract 209.01, Kent County, Rhode Island",568,"Block Group 3, Census Tract 209.01, Kent County, Rhode Island",199
"G44000300209014","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020901","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209014","Block Group 4, Census Tract 209.01, Kent County, Rhode Island",1070,"Block Group 4, Census Tract 209.01, Kent County, Rhode Island",278
"G44000300209033","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020903","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209033","Block Group 3, Census Tract 209.03, Kent County, Rhode Island",327,"Block Group 3, Census Tract 209.03, Kent County, Rhode Island",94
"G44000300209039","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020903","9",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209039","Block Group 9, Census Tract 209.03, Kent County, Rhode Island",5511,"Block Group 9, Census Tract 209.03, Kent County, Rhode Island",272
"G44000300209041","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020904","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209041","Block Group 1, Census Tract 209.04, Kent County, Rhode Island",1848,"Block Group 1, Census Tract 209.04, Kent County, Rhode Island",167
"G44000300209042","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020904","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030209042","Block Group 2, Census Tract 209.04, Kent County, Rhode Island",1731,"Block Group 2, Census Tract 209.04, Kent County, Rhode Island",163
