GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000700117013","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011701","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117013",,,"Block Group 3, Census Tract 117.01, Providence County, Rhode Island",820,"Block Group 3, Census Tract 117.01, Providence County, Rhode Island",203
"G44000700117021","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011702","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117021",,,"Block Group 1, Census Tract 117.02, Providence County, Rhode Island",987,"Block Group 1, Census Tract 117.02, Providence County, Rhode Island",297
"G44000700117022","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011702","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117022",,,"Block Group 2, Census Tract 117.02, Providence County, Rhode Island",1168,"Block Group 2, Census Tract 117.02, Providence County, Rhode Island",248
"G44000700117023","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011702","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117023",,,"Block Group 3, Census Tract 117.02, Providence County, Rhode Island",2054,"Block Group 3, Census Tract 117.02, Providence County, Rhode Island",302
"G44000700118001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011800","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070118001",,,"Block Group 1, Census Tract 118, Providence County, Rhode Island",2305,"Block Group 1, Census Tract 118, Providence County, Rhode Island",480
"G44000700118002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011800","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070118002",,,"Block Group 2, Census Tract 118, Providence County, Rhode Island",1047,"Block Group 2, Census Tract 118, Providence County, Rhode Island",252
"G44000700118003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011800","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070118003",,,"Block Group 3, Census Tract 118, Providence County, Rhode Island",668,"Block Group 3, Census Tract 118, Providence County, Rhode Island",213
"G44000700118004","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011800","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070118004",,,"Block Group 4, Census Tract 118, Providence County, Rhode Island",957,"Block Group 4, Census Tract 118, Providence County, Rhode Island",301
"G44000700118005","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011800","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070118005",,,"Block Group 5, Census Tract 118, Providence County, Rhode Island",1544,"Block Group 5, Census Tract 118, Providence County, Rhode Island",479
"G44000700119011","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011901","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070119011",,,"Block Group 1, Census Tract 119.01, Providence County, Rhode Island",1842,"Block Group 1, Census Tract 119.01, Providence County, Rhode Island",367
"G44000700119012","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011901","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070119012",,,"Block Group 2, Census Tract 119.01, Providence County, Rhode Island",1223,"Block Group 2, Census Tract 119.01, Providence County, Rhode Island",316
"G44000700119021","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011902","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070119021",,,"Block Group 1, Census Tract 119.02, Providence County, Rhode Island",2129,"Block Group 1, Census Tract 119.02, Providence County, Rhode Island",446
"G44000700119022","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011902","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070119022",,,"Block Group 2, Census Tract 119.02, Providence County, Rhode Island",1114,"Block Group 2, Census Tract 119.02, Providence County, Rhode Island",301
"G44000700119023","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011902","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070119023",,,"Block Group 3, Census Tract 119.02, Providence County, Rhode Island",1518,"Block Group 3, Census Tract 119.02, Providence County, Rhode Island",376
"G44000700120001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012000","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070120001",,,"Block Group 1, Census Tract 120, Providence County, Rhode Island",1173,"Block Group 1, Census Tract 120, Providence County, Rhode Island",258
